,UCL,,,,,,,,,,UNF,,,,,,,,,,Vanderbilt,,,,,,,,,,Zurich,,,,,,,,,,MEAN,STD,,,Average per center (dice),,,
Soft-Adap-Relu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCL,UNF,Vanderbilt,Zurich
lfdr_class0,0,0,0.1,0,0.05,0.05,0.05,0,0.05,0,0.102564102564103,0,0.115384615384615,0.076923076923077,0.038461538461539,0,0.112820512820513,0.115384615384615,0.115384615384615,0.051282051282051,0.145833333333333,0.125,0.148333333333333,0.0875,0.123333333333333,0.0875,0.083333333333333,0.083333333333333,0.14,0.058333333333333,0.471666666666667,0.423333333333333,0.46,0.639801587301587,0.548333333333333,0.669345238095238,0.630436507936508,0.735992063492063,0.726130952380952,0.717916666666667,0.203341536935287,0.243833608056537,,,,,,
ltpr_class0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,
mse_class0,0.00325,0.00303,0.00304,0.00316,0.0031,0.00306,0.00292,0.00367,0.00313,0.00309,0.001581280048077,0.001524188701923,0.0021484375,0.001591045673077,0.002099609375,0.001657902644231,0.002093599759615,0.001720252403846,0.001919320913462,0.001888521634615,0.002282309395926,0.00218254291768,0.00218873565051,0.002223059829401,0.002161115529586,0.002107546592245,0.002170513075225,0.00229127471301,0.002159820556641,0.002295247603436,0.003556831166105,0.003782695509124,0.003449381713842,0.003929331792192,0.00379238091005,0.003813243433279,0.00418668849926,0.003894702588671,0.004075606188313,0.003908365095311,0.002753138785341,0.000821645909236,,,,,,
n_gt_class0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,
n_pred_class0,1,1.1,1.2,1,1.2,1.1,1.1,1,1.1,1,1.46153846153846,1.23076923076923,2.07692307692308,1.46153846153846,1.92307692307692,1.38461538461538,2.30769230769231,1.46153846153846,1.76923076923077,1.53846153846154,1.45,1.25,1.45,1.3,1.4,1.3,1.25,1.2,1.4,1.15,2.35,2.4,2.65,3.75,2.95,4.55,4.25,4.75,4.3,4.65,1.92913461538462,1.14840627183057,,,,,,
precision_class0,0.931135499264609,0.945669097426317,0.946235903158478,0.952403320712318,0.940475108426859,0.950660094080408,0.923961815897493,0.933024890144917,0.945304121123739,0.941918781289269,0.938521010573539,0.925740601335719,0.916797511591657,0.926294055641881,0.936519959674072,0.937796945305484,0.928845341971384,0.934678918664991,0.931896319055435,0.936212323780718,0.884680861294115,0.881274750109107,0.876027284382008,0.872680080669092,0.888462306778324,0.876146475957678,0.878423236261451,0.881825682145933,0.877409237425588,0.882953460522681,0.685092762512522,0.667923592559645,0.693906819561346,0.656012706552852,0.669959655333606,0.669746610061137,0.637773240759096,0.670686379036976,0.651064329178633,0.656309312077361,0.854561260057461,0.113246676979878,,,,,,
recall_class0,0.850623819956344,0.849810704248294,0.847957562814091,0.834297805803269,0.850023269011902,0.843194373026511,0.879922202981578,0.817024456401236,0.842330706353772,0.851868583950473,0.795006462609893,0.821147683805875,0.727538986028583,0.801131460060108,0.710422552222354,0.786389189913488,0.716159350012907,0.773205343379552,0.74079589938246,0.740611083881041,0.838717565962638,0.85636056128057,0.861750568961427,0.862383058382559,0.850143788758206,0.873728513321869,0.861544791685639,0.8399644454774,0.864720495874609,0.838736200903686,0.914989989411453,0.92417866684928,0.915683846880909,0.937918097982522,0.914014978344595,0.910162485286736,0.936407285539318,0.87757204535905,0.915391017882582,0.938054057405209,0.84529709893485,0.061032380563381,,,,,,
rvd_class0,0.08487339437963,0.100664967056204,0.103842492028454,0.122852821617859,0.095561097526223,0.111825272417481,0.047419593959159,0.124116513073582,0.10882275658967,0.092558910526685,0.151610834695358,0.112136148631139,0.205619490355743,0.135091842508686,0.240310835217529,0.160405064921924,0.228317618429581,0.171050088004105,0.204306836641461,0.208715546955544,0.05121198992962,0.027810378186106,0.016129420767482,0.011109948846022,0.042706668184165,0.00231359358125,0.019058826167636,0.047591222519359,0.013889561755054,0.049824505363187,-0.34269163380152,-0.393318698929132,-0.328615003658523,-0.442279682223062,-0.374237080558873,-0.36976404407058,-0.476834669100374,-0.317754059025138,-0.417566278468713,-0.439496005040561,-0.020270222851015,0.226003269452811,,,,,,
specificity_class0,0.999675033549253,0.99975209479278,0.999758795861513,0.999785595518313,0.999728650381986,0.999775549198699,0.999634835569772,0.999705193958526,0.999755445103459,0.999721945273513,0.99996994284687,0.9999623314155,0.999962279914091,0.999964021694326,0.999972256436042,0.999970124888413,0.999968631173719,0.999968482513836,0.999968756717676,0.999971489275812,0.999930985912401,0.99992740054848,0.999923340838452,0.999920964701178,0.999932695504881,0.999922391583929,0.999925323597573,0.999929357230969,0.999923850638705,0.999930137797553,0.999892206434531,0.999881732546731,0.999895782892646,0.999873074046569,0.999884055385225,0.999884163604003,0.99986399481284,0.999889021749396,0.999873321235431,0.999873740308309,0.999876224936348,9.42515028126913E-05,,,,,,
vol_gt_class0,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,190.874988460541,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1248.46161756149,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,1024.24663813561,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,552.74218788743,754.081358011268,416.068286969965,,,,,,
vol_pred_class0,174.499991774559,171.49999178648,170.874991893768,167.374991929531,172.374991846085,169.374991881847,181.624991297722,166.999992322922,169.999992060661,172.999992632866,1080.72122362027,1123.125068527,1002.69238373866,1105.67314511996,973.125062456498,1065.72122075008,988.701991851513,1058.65391457998,1020.43275990853,1014.8077569283,972.404874742031,995.459728567302,1006.7165402323,1012.01092749983,980.354960557819,1021.86252705157,1003.72566016167,974.513889656961,1010.07364988774,972.446026188135,740.718749355525,768.679686903954,733.406249859184,794.843749337643,757.906249219179,755.593749489635,813.843749138713,728.132812656462,782.304686760902,793.609374397993,744.247182214295,352.274751825653,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soft-Adap-Sig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avd_class0,0.149382221548759,0.11443570690475,0.678751555633908,0.491404110603316,0.115760041268043,1,0.121350174206592,0.246976570275213,0.065296577237975,0.648887891896942,0.431420645312507,0.111760968836115,1,0.307467422342733,0.125625749679343,1,0.081777104868374,1,1,0.196839021425087,0.893966432187179,1,0.993462010294865,0.3246584213509,1,1,1,1,1,1,0.212650885614597,0.231971466484334,0.293005897088248,0.361668303046803,0.326051010775593,0.262739343573849,0.344849575019951,0.30675982749216,0.380336071231013,0.36401104897753,0.529581651379417,0.367279971154682,,,,,,
